Food,Disease,Status,Reason,Biomarker,Curing/Alternative Foods
Brazil nut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bread,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broccoli,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broccoli,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broccoli,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broccoli,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broccoli,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Broccoli,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broken wheat (Dalia),Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Broken wheat (Dalia),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broken wheat (Dalia),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broken wheat (Dalia),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broken wheat (Dalia),Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Broken wheat (Dalia),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brown rice,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Brown rice,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brown rice,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brown rice,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brown rice,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Brown rice,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Buckwheat,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Buckwheat,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Buckwheat,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Buckwheat,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Buckwheat,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Buckwheat,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bulgur,Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Blackberry, Barley, Blueberry"
Bulgur,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bulgur,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bulgur,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bulgur,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bulgur,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Bun,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burger,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burger,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burger,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Beetroot, Garlic, Avocado"
Burger,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burger,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Onion, Green beans, Kale"
Burger,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burrito,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burrito,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burrito,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burrito,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Burrito,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Broccoli, Potato, Bell pepper (Capsicum)"
Burrito,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Butter,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Butter,Heart Disease,Avoid,High in saturated fat,LDL,"Recommended instead: Brazil nut, Cashew, Walnut"
Butter,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Butter,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Butter,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Butter,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cabbage,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cabbage,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cabbage,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cabbage,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cabbage,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Cabbage,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cake,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Raspberry, Amaranth, Broken wheat (Dalia)"
Cake,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cake,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cake,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cake,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Peas, Swiss chard, Turnip"
Cake,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Candy,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Brown rice, Pear, Freekeh"
Candy,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Candy,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Candy,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Candy,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Candy,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Carrot,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Carrot,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Carrot,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Carrot,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Carrot,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Carrot,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cashew,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cashew,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Cashew,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cashew,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cashew,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cashew,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cauliflower,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cauliflower,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cauliflower,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cauliflower,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cauliflower,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Cauliflower,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Celery,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Celery,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Celery,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Celery,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Celery,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Celery,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cheese,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cheese,Heart Disease,Avoid,High in saturated fat,LDL,"Recommended instead: Macadamia nut, Pecan, Pistachio"
Cheese,Hypertension,Avoid,Very high in sodium,Blood Pressure,"Recommended instead: Avocado, Olive oil, Arugula"
Cheese,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cheese,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cheese,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cherry,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Broken wheat (Dalia), Brown rice, Barley"
Cherry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cherry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cherry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cherry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cherry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chia seeds,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chia seeds,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Chia seeds,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chia seeds,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chia seeds,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chia seeds,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken nuggets,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken nuggets,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken nuggets,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken nuggets,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken nuggets,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Quinoa, Pumpkin, Potato"
Chicken nuggets,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken wings,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken wings,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken wings,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken wings,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chicken wings,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Yam, Ginger, Fenugreek leaves (methi)"
Chicken wings,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chili pepper,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chili pepper,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chili pepper,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chili pepper,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chili pepper,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Chili pepper,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chocolate,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Wild rice, Quinoa, Broken wheat (Dalia)"
Chocolate,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chocolate,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chocolate,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chocolate,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Chocolate,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Churros,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Blueberry, Buckwheat, Farro"
Churros,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Churros,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Churros,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Churros,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Mustard greens, Pumpkin, Radish"
Churros,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coconut,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Buckwheat, Quinoa, Spelt"
Coconut,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coconut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coconut,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Coconut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coconut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coriander,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coriander,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
